Order,Family,genus_species,Adult_habitat,Activity_period,Sex_dichromatism,AH_source,AP_source,SD_source
Anura,Hylidae,Boana_pardalis,Scansorial,Nocturnal,Absent,CFBH pers. obs. ,CFBH pers. obs.,CFBH pers. obs.
Anura,Hylidae,Boana_punctata,Scansorial,Nocturnal,Absent,pers. obs.,pers. obs.,Taboada et al. (2017)
Anura,Hylidae,Boana_rosenbergi,Scansorial,Nocturnal,Absent,Hobel (2000),Hobel (2000),Bell et al. (2017)
Anura,Hylidae,Bokermannohyla_astartea,Scansorial,Nocturnal,Absent,CFBH pers. obs. ,CFBH pers. obs.,CFBH pers. obs.
Anura,Hylidae,Bokermannohyla_circumdata,Scansorial,Nocturnal,Present,Haddad et al. (2013),Haddad et al. (2013),Bell et al. (2017)
Anura,Hylidae,Bokermannohyla_hylax,Scansorial,Nocturnal,Absent,IUCN (2020),RCB pers. obs. ,Bell et al. (2017)
Anura,Bombinatoridae,Bombina_orientalis,Semiaquatic,Both,Absent,Fei and Ye (2016),AmphibiaWeb (2019) - diurnal; Anderson and Wiens (2017) - nocturnal; Marshall (1990); Zeyl and Laberge (2011),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Mantellidae,Boophis_erythrodactylus,Scansorial,Nocturnal,Absent,Vences and Glaw (2002),Vences and Glaw (2002); Glaw and Vences (2007),AmphibiaWeb (2019) photos
Anura,Brachycephalidae,Brachycephalus_ephippium,Ground-dwelling,Diurnal,Absent,Haddad et al. (2013),Pombal et al. (1994); Anderson and Weins (2017); Haddad et al. (2013),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Bufonidae,Bufo_bufo,Ground-dwelling,Nocturnal,Present,Halliday (2016),Halliday (2016); Anderson and Wiens (2017),Bell et al. (2012) - dynamic dichromatism
Anura,Microhylidae,Chiasmocleis_shudikarensis,Subfossorial,Nocturnal,Present,Lescure and Marty (2000),pers. obs.,Peloso et al. 2014; Bell et al. (2017)
Anura,Centrolenidae,Cochranella_granulosa,Scansorial,Nocturnal,Absent,AmphibiaWeb (2020),AmphibiaWeb (2020),Bell et al. (2017)
Anura,Ceratobatrachidae,Cornufer_guentheri,Subfossorial,Nocturnal,Absent,Menzies and Parker (2018),Menzies and Parker (2018),Bell et al. (2017)
Anura,Craugastoridae,Craugastor_fitzingeri,Scansorial,Nocturnal,Absent,AmphibiaWeb (2019),AmphibiaWeb (2019),Bell et al. (2017) - absence of dynamic dichromatism
Caudata,Salamandridae,Cynops_pyrrhogaster,Aquatic,Both,Absent,AmphibiaWeb (2019),Nagai and Oishi (1998),AmphibiaWeb (2020)
Anura,Dendrobatidae,Dendrobates_auratus,Ground-dwelling,Diurnal,Absent,IUCN (2019); Lanoo and Nanjappa (2005),Anderson and Wiens (2017); Guyer and Donnelly (2005); Lanoo and Nanjappa (2005),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Dendrobatidae,Dendrobates_leucomelas,Ground-dwelling,Diurnal,Absent,AmphibiaWeb (2020),AmphibiaWeb (2020),AmphibiaWeb (2020); Bell et al. (2017)
Anura,Hylidae,Dendropsophus_ebraccatus,Scansorial,Nocturnal,Present,AmphibiaWeb (2020),AmphibiaWeb (2020),Bell et al. (2017)
Anura,Hylidae,Dendropsophus_leucophyllatus,Scansorial,Nocturnal,Present,IUCN (2019),IUCN (2019),Bell et al. (2012)
Anura,Hylidae,Dendropsophus_microcephalus,Scansorial,Nocturnal,Present,Schwartz and Wells (1985),Schwartz and Wells (1985),Bell et al. (2017)
Anura,Hylidae,Dendropsophus_minusculus,Scansorial,Nocturnal,Absent,IUCN (2019),IUCN (2019),Bell et al. (2017)
