Order,Family,Subfamily,Genus,Species,tiplabel_WalterPyron2019,match_WalterPyron2019,Field_number,MSP_name,Life_stage,Sex,Expedition
Anura,Hyperoliidae,,Hyperolius,fusciventris,Hyperolius_fusciventris,exact,JWS 889,ENG. REED FROG,adult,female,NHM-Nov-2018
Anura,Hemisotidae,,Hemisus,marmoratus,Hemisus_marmoratus,exact,JWS 886,HALF-PIG FROG,adult,unknown,NHM-Nov-2018
Anura,Mantellidae,Mantellinae,Mantella,betsileo,Mantella_betsileo,exact,JWS 882,MANTELLA,adult,unknown,NHM-Nov-2018
Anura,Microhylidae,Phrynomerinae,Phrynomantis,microps,Phrynomantis_microps,exact,JWS 885,RUBBER FROG,adult,unknown,NHM-Nov-2018
Anura,Hyperoliidae,,Kassina,senegalensis,Kassina_senegalensis,exact,JWS 888,SENEGAL RUNNING FROG,adult,unknown,NHM-Nov-2018
Anura,Ceratobatrachidae,Ceratobatrachinae,Ceratobatrachus,guentheri,Ceratobatrachus_guentheri,exact,JWS 881,SOLOMAN ISLAND FROG,adult,unknown,NHM-Nov-2018
Anura,Microhylidae,Microhylinae,Calluella,guttulata,Calluella_guttulata,exact,JWS 887,SQUAT FROG,adult,unknown,NHM-Nov-2018
Anura,Dendrobatidae,Colostethinae,Epipedobates,tricolor,Epipedobates_tricolor,exact,JWS 883,THREE-COLOUR DART FROG,adult,unknown,NHM-Nov-2018
Anura,Ranidae,,Lithobates,sphenocephalus,Rana_sphenocephala,exact,none,"probably ""TEXAS LEOPARD FROG TAD""",tadpole,unknown,Cornell_Apr-2019
Anura,Microhylidae,Microhylinae,Kaloula,pulchra,Kaloula_pulchra,exact,MKF 0926,CHUBBY-FROG,adult,unknown,Washington_May-2018
Anura,Eleutherodactylidae,Eleutherodactylinae,Eleutherodactylus,marnockii,Eleutherodactylus_marnockii,exact,MKF 0923,CLIFF CHIRPING FROG,adult,unknown,Washington_May-2018
Anura,Pyxicephalidae,Pyxicephalinae,Pyxicephalus,adspersus,Pyxicephalus_adspersus,exact,MKF 0927,PIXIE-FROG,adult,unknown,Washington_May-2018
Anura,Hyperoliidae,NA,Heterixalus,alboguttatus,Heterixalus_alboguttatus,exact,MKF 0921,STARRY-NIGHT-REED-FROG,sub-adult,unknown,Washington_May-2018
Anura,Ascaphidae,NA,Ascaphus,truei,Ascaphus_truei,exact,MKF 0920,TAILED-FROG,adult,unknown,Washington_May-2018
Anura,Ascaphidae,NA,Ascaphus,truei,Ascaphus_truei,exact,MKF 0922,TAILED-FROG-TAD,tadpole,unknown,Washington_May-2018
Anura,Microhylidae,Dyscophinae,Dyscophus,sp.,Dyscophus_antongilii,sub,MKF 0928,TOMATO-FROG,adult,unknown,Washington_May-2018
Anura,Hyperoliidae,Hyperoliinae,Hyperolius,tuberculatus,Hyperolius_tuberculatus,exact,CUMV 15930,MALE,adult,male,Rayna_prelim_data
Anura,Hyperoliidae,Hyperoliinae,Hyperolius,tuberculatus,Hyperolius_tuberculatus,exact,CUMV 15932,FEMALE,adult,female,Rayna_prelim_data
