order,family,genus_species,stage,dataset,source,diam_mm,approx_size,t450nm,t50,pUVA,hab,act,ASW_names
Anura,Hylidae,Xenohyla_truncata,unknown,Yovanovich et al. (2020),literature,unknown,NA,90,388,NA,scansorial,nondiurnal,Xenohyla_truncata
Anura,Hylodidae,Hylodes_asper,unknown,Yovanovich et al. (2020),literature,unknown,NA,99,411,NA,other,diurnal,Hylodes_asper
Anura,Hylodidae,Hylodes_phyllodes,unknown,Yovanovich et al. (2020),literature,unknown,NA,87,418,9.31,other,diurnal,Hylodes_phyllodes
Anura,Hylodidae,Hylodes_pipilans,unknown,Yovanovich et al. (2020),literature,unknown,NA,81,415,NA,other,diurnal,Hylodes_pipilans
Anura,Leptodactylidae,Engystomops_pustulosus,unknown,Yovanovich et al. (2020),literature,unknown,NA,96,324,81.43,other,nondiurnal,Engystomops_pustulosus
Anura,Leptodactylidae,Leptodactylus_fragilis,unknown,Yovanovich et al. (2020),literature,unknown,NA,93,372,36.06,other,nondiurnal,Leptodactylus_fragilis
Anura,Leptodactylidae,Leptodactylus_insularum,unknown,Yovanovich et al. (2020),literature,unknown,NA,92,380,25.78,other,nondiurnal,Leptodactylus_insularum
Anura,Leptodactylidae,Leptodactylus_tapiti,unknown,Yovanovich et al. (2020),literature,unknown,NA,82,376,NA,other,nondiurnal,Leptodactylus_tapiti
Anura,Leptodactylidae,Physalaemus_cuvieri,unknown,Yovanovich et al. (2020),literature,unknown,NA,85,390,17.07,other,nondiurnal,Physalaemus_cuvieri
Anura,Microhylidae,Elachistocleis_panamensis,unknown,Yovanovich et al. (2020),literature,unknown,NA,94,319,84.54,other,nondiurnal,Elachistocleis_panamensis
Anura,Phyllomedusidae,Agalychnis_callidryas,unknown,Yovanovich et al. (2020),literature,unknown,NA,96,385,27.78,scansorial,nondiurnal,Agalychnis_callidryas
Anura,Phyllomedusidae,Pithecopus_hypochondrialis,unknown,Yovanovich et al. (2020),literature,unknown,NA,88,382,NA,scansorial,nondiurnal,Pithecopus_hypochondrialis
